,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
0,1,13,4,1,71,0,8,0,0,1
1,1,13,3,1,72,0,7,0,0,1
2,1,13,3,1,72,0,7,0,0,1
3,1,13,3,1,72,0,8,0,0,1
4,1,13,3,1,73,0,8,0,0,1
5,1,12,3,1,72,0,8,0,0,1
6,1,13,3,1,73,0,8,0,0,1
7,1,13,3,1,73,0,8,0,0,1
8,1,14,3,1,72,0,8,0,0,1
9,1,13,3,1,72,0,8,0,0,1
10,1,12,3,1,73,0,8,0,0,1
11,1,12,3,1,73,0,8,0,0,1
12,1,12,3,1,73,0,8,0,0,1
13,1,12,3,1,73,0,8,0,0,1
14,1,12,3,1,73,0,8,0,0,1
15,1,12,3,1,73,0,8,0,0,1
16,1,12,3,1,73,0,8,0,0,1
17,1,14,3,0,71,0,9,0,0,1
18,1,13,3,1,72,0,8,0,0,1
19,1,13,3,1,72,0,8,0,0,1
20,1,12,3,1,72,0,8,0,0,1
21,1,14,3,0,72,0,9,0,0,1
22,1,12,3,1,72,0,8,0,0,1
23,1,12,3,1,73,0,8,0,0,1
24,1,13,3,1,72,0,8,0,0,1
25,1,12,3,1,73,0,8,0,0,1
26,1,13,3,1,72,0,8,0,0,1
27,1,12,3,1,73,0,8,0,0,1
28,1,12,3,1,73,0,8,0,0,1
29,1,13,3,1,72,0,8,0,0,1
30,1,12,3,1,73,0,8,0,0,1
31,1,12,3,1,73,0,8,0,0,1
32,1,12,3,1,72,0,8,0,0,1
33,1,12,3,1,73,0,8,0,0,1
34,1,12,3,1,72,0,8,0,0,1
35,1,13,3,1,72,0,8,0,0,1
36,1,13,3,1,71,0,8,0,0,1
37,1,12,3,1,72,0,8,0,0,1
38,1,14,3,0,71,0,9,0,0,1
39,1,14,3,0,71,0,9,0,0,1
40,1,12,3,1,73,0,8,0,0,1
41,1,12,3,1,73,0,8,0,0,1
42,1,13,3,1,72,0,8,0,0,1
43,1,13,3,0,71,0,9,0,0,1
44,1,12,3,1,72,0,8,0,0,1
45,1,13,3,1,71,0,9,0,0,1
46,1,13,3,1,72,0,8,0,0,1
47,1,13,3,0,71,0,9,0,0,1
48,1,13,3,0,71,0,10,0,0,1
49,1,13,3,1,72,0,8,0,0,1
50,1,13,3,0,71,0,10,0,0,1
51,1,13,3,1,72,0,9,0,0,1
52,1,13,2,1,72,0,9,0,0,1
53,1,13,2,1,72,0,9,0,0,1
54,1,13,2,1,72,0,9,0,0,1
55,1,12,2,1,73,0,9,0,0,1
56,1,12,3,1,72,0,8,0,0,1
57,1,12,3,1,72,0,8,0,0,1
58,1,13,3,1,72,0,8,0,0,1
59,1,13,3,1,72,0,8,0,0,1
60,1,13,3,1,72,0,8,0,0,1
61,1,13,3,1,71,0,8,0,0,1
62,1,13,3,0,71,0,9,0,0,1
63,1,14,3,0,71,0,9,0,0,1
64,1,13,3,0,72,0,9,0,0,1
65,1,13,3,1,71,0,9,0,0,1
66,1,13,3,0,72,0,9,0,0,1
67,1,13,3,0,72,0,9,0,0,1
68,1,13,3,0,72,0,9,0,0,1
69,1,13,3,0,71,0,10,0,0,1
70,1,14,3,1,71,0,7,0,0,2
71,1,13,3,1,71,0,8,0,0,2
72,1,13,3,1,73,0,7,0,0,2
73,1,13,3,1,72,0,7,0,0,2
74,1,13,3,1,73,0,7,0,0,2
75,1,13,3,1,73,0,7,0,0,2
76,1,13,3,1,72,0,8,0,0,2
77,1,13,3,1,72,0,8,0,0,2
78,1,13,3,1,72,0,7,0,0,2
79,1,12,3,1,72,0,7,0,0,2
80,1,12,3,2,72,0,7,0,0,2
81,1,13,3,1,73,0,7,0,0,2
82,1,13,3,1,72,0,8,0,0,2
83,1,13,3,1,72,0,8,0,0,2
84,1,14,3,2,72,1,7,0,0,2
85,1,13,3,1,72,0,8,0,0,2
86,1,13,3,1,73,0,8,0,0,2
87,1,13,3,1,72,0,8,0,0,2
88,1,13,3,1,72,0,8,0,0,2
89,1,12,3,1,73,0,8,0,0,2
90,1,12,3,1,72,0,8,0,0,2
91,1,12,3,1,73,0,8,0,0,2
92,1,13,3,1,73,0,8,0,0,2
93,1,13,3,1,73,0,8,0,0,2
94,1,12,3,1,73,0,8,0,0,2
95,1,13,3,1,72,0,8,0,0,2
96,1,13,3,1,72,0,9,0,0,2
97,1,12,3,1,73,0,8,0,0,2
98,1,12,2,1,73,0,8,0,0,2
99,1,12,2,1,72,0,8,0,0,2
100,1,12,2,1,73,0,8,0,0,2
101,1,12,2,1,72,0,9,0,0,2
102,1,12,2,0,73,0,9,0,0,2
103,1,13,3,0,70,0,11,0,0,2
104,1,13,2,1,71,0,10,0,0,2
105,1,11,0,1,72,0,13,0,0,2
106,1,10,0,2,69,0,13,3,0,2
107,1,12,0,1,70,0,16,0,0,2
108,1,14,0,1,72,0,11,0,0,2
109,1,13,0,0,74,0,10,0,0,2
110,1,11,0,0,73,0,14,0,0,2
111,1,11,0,0,73,0,14,0,0,2
112,1,12,0,0,72,0,14,0,0,2
113,1,13,3,1,72,0,8,0,0,2
114,1,13,3,1,72,0,8,0,0,2
115,1,13,3,1,72,0,8,0,0,2
116,1,13,3,1,72,0,8,0,0,2
117,1,13,3,1,72,0,7,0,0,2
118,1,13,3,1,72,0,8,0,0,2
119,1,13,3,1,72,0,7,0,0,2
120,1,13,3,1,72,0,8,0,0,2
121,1,12,3,1,72,0,8,0,0,2
122,1,13,3,1,72,0,8,0,0,2
123,1,13,3,1,72,0,7,0,0,2
124,1,13,3,1,72,0,8,0,0,2
125,1,12,3,1,72,0,8,0,0,2
126,1,12,3,1,72,0,8,0,0,2
127,1,13,2,1,71,0,9,0,0,2
128,1,13,2,1,72,0,9,0,0,2
129,1,13,1,1,71,0,10,0,0,2
130,1,13,1,1,72,0,11,0,0,2
131,1,13,0,1,71,0,13,0,0,2
132,1,13,3,1,72,0,8,0,0,2
133,1,13,3,1,71,0,8,0,0,2
134,1,13,3,1,72,0,8,0,0,2
135,1,13,3,1,72,0,8,0,0,2
136,1,13,3,1,73,0,8,0,0,2
137,1,12,3,1,72,0,8,0,0,2
138,1,12,3,1,73,0,7,0,0,2
139,1,12,3,1,73,0,7,0,0,2
140,1,13,3,1,72,0,8,0,0,2
141,1,13,3,1,72,0,8,0,0,2
142,1,12,3,1,73,0,8,0,0,2
143,1,13,3,1,72,0,8,0,0,2
144,1,12,3,1,72,0,8,0,0,2
145,1,12,3,1,72,0,8,0,0,2
146,1,13,3,1,72,0,8,0,0,3
147,1,13,3,1,72,0,8,0,0,3
148,1,13,3,1,72,0,8,0,0,3
149,1,12,3,1,72,0,8,0,0,3
150,1,13,3,1,72,0,8,0,0,3
151,1,14,3,0,71,0,9,0,0,3
152,1,13,3,0,73,0,8,0,0,3
153,1,13,3,1,72,0,8,0,0,3
154,1,12,3,1,72,0,8,0,0,3
155,1,13,3,1,73,0,8,0,0,3
156,1,13,3,1,72,0,8,0,0,3
157,1,14,3,0,71,0,9,0,0,3
158,1,13,3,1,72,0,8,0,0,3
159,1,13,3,1,71,0,8,0,0,3
160,1,13,3,1,72,0,8,0,0,3
161,1,13,3,0,72,0,8,0,0,3
162,1,14,3,0,71,0,9,0,0,3
163,1,14,2,3,69,1,5,2,0,5
164,1,12,1,1,72,0,10,0,0,5
165,1,11,1,1,72,0,11,0,0,5
166,1,11,1,1,73,0,11,0,0,5
167,1,12,0,1,73,0,11,0,0,5
168,1,12,0,1,73,0,10,0,0,5
169,1,13,0,1,73,0,11,0,0,5
170,1,13,0,1,72,0,12,0,0,5
171,1,13,0,3,70,6,6,0,0,5
172,1,13,0,3,70,6,6,0,0,5
173,1,13,0,1,72,0,12,0,0,5
174,1,12,1,2,72,0,9,0,0,5
175,1,12,0,1,73,0,11,0,0,5
176,1,14,2,1,72,0,9,0,0,6
177,1,13,2,1,72,0,9,0,0,6
178,1,14,2,1,72,0,9,0,0,6
179,1,14,2,1,72,0,9,0,0,6
180,1,14,1,1,74,0,7,0,0,6
181,1,14,0,1,72,0,9,0,0,6
182,1,14,0,2,72,0,10,0,0,6
183,1,14,0,0,73,0,11,0,0,6
184,1,17,0,0,75,0,6,0,0,6
185,1,13,3,1,72,1,5,1,0,7
186,1,14,3,2,71,1,5,1,0,7
187,1,13,3,1,72,0,8,0,0,7
188,1,14,2,2,70,0,9,0,0,7
189,1,15,1,1,70,0,8,1,0,7
190,1,13,1,1,73,0,8,0,0,7
191,1,14,0,2,73,0,8,0,0,7
192,1,14,0,2,73,0,9,0,0,7
193,1,14,0,2,73,0,8,1,0,7
194,1,14,0,1,73,0,8,1,0,7
195,1,14,0,2,73,0,9,0,0,7
196,1,13,0,2,73,0,9,0,0,7
197,1,14,0,2,73,0,8,0,0,7
198,1,14,0,2,73,0,9,0,0,7
199,1,15,0,2,73,0,8,0,0,7
200,1,15,0,2,73,0,8,0,0,7
201,1,11,0,1,75,2,8,0,0,7
202,1,14,0,2,73,0,8,0,0,7
203,1,14,0,1,73,0,8,1,0,7
204,1,14,0,2,73,0,8,0,0,7
205,1,14,0,1,72,0,8,1,0,7
206,1,14,0,1,73,0,8,1,0,7
207,1,14,0,1,72,1,6,2,0,7
208,1,14,0,2,72,0,9,0,0,7
209,1,14,0,2,72,0,9,1,0,7
210,1,14,0,1,73,0,8,1,0,7
211,1,14,0,2,73,0,8,1,0,7
212,1,14,0,1,73,0,8,1,0,7
213,1,14,0,2,73,0,8,1,0,7
